mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.797762870788574,0.03848935158561727,0.0035774707794189453,0.00017550308859245255,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",-0.015334674283436591,-0.020777544944806305,-0.019872429973245325,-0.015554066780211085,-0.018032022680041553,-0.017914147732348173,0.0022032463688339532,27
5.670370864868164,0.19344703670442026,0.004971027374267578,9.763186958825851e-05,0.01,3,1000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",-0.012580720326757399,-0.018875477903959968,-0.017316637245953496,-0.013148957711478967,-0.01540774797505134,-0.015465908232640236,0.0023977620736690157,19
11.266054439544678,0.1093707973639134,0.009194278717041015,0.001932943958562018,0.01,3,2000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 2000}",-0.011381627768347741,-0.017897230670962307,-0.016268876567230514,-0.012226730451861725,-0.014060545782343144,-0.014367002248149088,0.0024358480393853106,9
3.532684803009033,0.07445078354424776,0.004284286499023437,8.556704295523558e-05,0.01,4,500,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 500}",-0.014369782238777126,-0.020498244583735586,-0.018360473795348324,-0.014119909938724293,-0.016258492954609228,-0.01672138070223891,0.0024274784234227897,25
7.114864110946655,0.039221936263783765,0.0065307140350341795,0.00023876495949036306,0.01,4,1000,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 1000}",-0.012582211565932757,-0.019433411394548447,-0.01687727477438766,-0.012594979471975585,-0.014594199143962823,-0.015216415270161454,0.002635891436040477,18
14.373050928115845,0.0970247856219076,0.011025428771972656,0.00023996594883145608,0.01,4,2000,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 2000}",-0.012090630709972548,-0.019127260995855797,-0.0165517727163772,-0.011873952108266124,-0.013932888051038152,-0.014715300916301965,0.002771726792044936,14
4.316090440750122,0.014181314609169368,0.005943393707275391,0.0015415969116662285,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-0.0156576393216546,-0.02159980788286173,-0.018060743493026846,-0.013530203997422847,-0.015425325878698425,-0.016854744114732888,0.0027748487538882998,26
8.927439785003662,0.11283494304045256,0.008626556396484375,0.0011855783184205205,0.01,5,1000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000}",-0.014416697789488054,-0.020651079294288627,-0.017450880641246835,-0.012474827362564202,-0.014453955938650478,-0.01588948820524764,0.002863580597998963,24
18.571931409835816,0.20798027038377567,0.013800430297851562,0.00022623199142145388,0.01,5,2000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 2000}",-0.013843836263774964,-0.020626441498494588,-0.017351195318706644,-0.011964696669100607,-0.013925000929954615,-0.015542234136006286,0.003079619391014639,22
2.9068140983581543,0.22021231181329262,0.0026991844177246095,4.8977559870548016e-05,0.05,3,500,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",-0.011665270582028011,-0.01881781189882104,-0.016134463859446332,-0.011891854478833414,-0.014141951517715202,-0.0145302704673688,0.0026935739397249405,13
5.541751480102539,0.05871349209807277,0.004509401321411133,0.00016307979995759022,0.05,3,1000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1000}",-0.011412842567295486,-0.01856327286450132,-0.015831040806187222,-0.01145307839068222,-0.01371668569984648,-0.014195384065702546,0.002729313293209269,4
11.177706575393676,0.1307238094955499,0.008347368240356446,0.0004427846946737802,0.05,3,2000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 2000}",-0.011333424485338037,-0.018787148019172844,-0.01595163135364658,-0.011447755612352062,-0.013583862533462004,-0.014220764400794306,0.002838299253970529,5
3.6566726207733153,0.05395357365051038,0.0039198875427246095,0.0011205260127143662,0.05,4,500,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 500}",-0.012051002891577569,-0.0188310563528808,-0.016099458860655363,-0.011963182290562438,-0.013391336859725348,-0.014467207451080303,0.0026447346146264263,11
7.232919979095459,0.06256426236784823,0.0057487010955810545,0.00023544152293899872,0.05,4,1000,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 1000}",-0.01173934842593711,-0.0193249414276836,-0.015837899757323557,-0.011799670105373188,-0.013100963738472256,-0.014360564690957941,0.002892856914140286,8
14.656540584564208,0.18513235417718407,0.01048898696899414,0.00025113469940657977,0.05,4,2000,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 2000}",-0.011745002309719017,-0.019244314896402607,-0.015773991504011813,-0.011710191845106558,-0.012892639257015623,-0.014273227962451123,0.002892441901788259,6
4.424978256225586,0.08287055115095245,0.006491279602050782,0.004773302372256486,0.05,5,500,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500}",-0.013848373545976003,-0.021025351145594416,-0.01665768327165225,-0.012047508369180381,-0.01448908310456688,-0.015613599887393987,0.003081387107829488,23
8.909227657318116,0.17584251827492223,0.0074061393737792965,0.0004534757626024586,0.05,5,1000,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 1000}",-0.013710557531713857,-0.02104104113204898,-0.016646651385052447,-0.01191781067141343,-0.014241299030774802,-0.015511471950200703,0.0031507396293812746,21
