mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7810274600982666,0.00479060605027214,0.004864168167114258,0.0004797833359521781,0.01,3,500,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",-0.023996677742081435,-0.0281764550179896,-0.028759878715952886,-0.024579568753654857,-0.02791809430241617,-0.02668613490641899,0.0019854466585983014,27
1.6376919746398926,0.02153743293160322,0.008872079849243163,0.0002594960081946985,0.01,3,1000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",-0.013076007320731893,-0.021393150000312902,-0.0174184565970461,-0.015991771904352765,-0.016658638484428216,-0.016907604861374374,0.0026819007686627043,24
3.36406888961792,0.035499222761789906,0.017164182662963868,0.0005874987419743115,0.01,3,2000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 2000}",-0.011883124726099708,-0.020569644499865095,-0.016549370540482312,-0.014337115170300601,-0.014815988287355792,-0.015631048644820702,0.0028850845757734246,6
0.9584056854248046,0.013043520499575533,0.0052715778350830075,5.5597985779196366e-05,0.01,4,500,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 500}",-0.0234565187337022,-0.02723501564321979,-0.027351422142921276,-0.02377766336829396,-0.026367243467658234,-0.02563757267115909,0.0016874704397464159,26
2.0770379066467286,0.019963625330623107,0.011519384384155274,0.0002382247804730281,0.01,4,1000,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 1000}",-0.0132486467141979,-0.02103741841394536,-0.017067783025245007,-0.015877023673169132,-0.015652897316449147,-0.01657675382860131,0.002551786367441791,23
4.290833854675293,0.042264981689916804,0.023124074935913085,0.0005270131591449022,0.01,4,2000,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 2000}",-0.012566217604527457,-0.020690644059444957,-0.016829744832923522,-0.014819877958595684,-0.014527921873345468,-0.01588688126576742,0.002755982674946916,8
1.1363784790039062,0.0261849501199557,0.00604543685913086,7.28546634375576e-05,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",-0.022689038042643567,-0.026897179680979336,-0.026866142896514695,-0.022940999585584758,-0.026491390123525374,-0.025176950065849545,0.0019354325510630515,25
2.5184466361999513,0.03058910638224946,0.01321549415588379,0.00014823097983544654,0.01,5,1000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000}",-0.012908288104867488,-0.020691895512206362,-0.017273796123351188,-0.015565619089863699,-0.016130416961282028,-0.016514003158314156,0.0025329753898894023,19
5.3044819831848145,0.03828119249357941,0.02806062698364258,0.0005187722113387088,0.01,5,2000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 2000}",-0.012494602590112721,-0.02095931573466476,-0.017117573007095856,-0.015228799410608332,-0.015425470678590614,-0.016245152284214456,0.0027840951514445955,14
0.8483224391937256,0.010166429708859049,0.004817581176757813,0.00012288830912283218,0.05,3,500,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",-0.01159244556828757,-0.020439845951212395,-0.016653640965739753,-0.014069315290521894,-0.014374646142656745,-0.01542597878368367,0.0029761663755974717,1
1.7022326946258546,0.02591405260456421,0.009182596206665039,0.00018758416233038985,0.05,3,1000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1000}",-0.01145496195812677,-0.020656606079559395,-0.017029046501937335,-0.013828279098388012,-0.014272644412819467,-0.015448307610166195,0.0031489234420504207,2
3.438773775100708,0.03615933650127528,0.01719222068786621,0.00030852000157729494,0.05,3,2000,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 2000}",-0.011717818455731093,-0.020778417090674444,-0.016922173437830847,-0.013891231157613758,-0.014648577012701234,-0.015591643430910277,0.003080916331340158,5
1.0872684478759767,0.013953101309959106,0.006534433364868164,0.00019428475908777422,0.05,4,500,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 500}",-0.012472432792160919,-0.020755622085509667,-0.017078465721360462,-0.014881622943932835,-0.014333032686039316,-0.01590423524580064,0.00283571694506962,9
2.21185040473938,0.011945371093057346,0.012315082550048827,0.0001534439007318705,0.05,4,1000,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 1000}",-0.012391238792174734,-0.02067769825397357,-0.01696323819381202,-0.014957782370115363,-0.014571912730757499,-0.01591237406816664,0.002789950019097712,10
4.48130202293396,0.04982800731344582,0.02303590774536133,0.0003024577981719415,0.05,4,2000,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 2000}",-0.012462755841423858,-0.020731874564801026,-0.017076333249853522,-0.015018665342302355,-0.014772620391278768,-0.016012449877931906,0.002775965771263501,11
1.3642675876617432,0.011368358148417516,0.007866096496582032,0.00021507234554738573,0.05,5,500,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500}",-0.012565670281563022,-0.02111300812614163,-0.01726762123291815,-0.015020627168884844,-0.015585530492989302,-0.016310491460499392,0.002835251935275865,16
2.779744863510132,0.017036851705690303,0.014855718612670899,0.00013577276394590481,0.05,5,1000,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 1000}",-0.012663647397209656,-0.02137434732447919,-0.017298054875035416,-0.01517439682773745,-0.015920732223116033,-0.01648623572951555,0.0028707344833021477,17
