mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1.2719916701316833,0.01907938924237846,0.07340902090072632,0.00036797300492143935,6,6,500,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 500}",-0.021080424321493416,-0.03470491475044802,-0.02344761217849136,-0.02306430412487485,-0.025574313843826912,0.005347567781653259,25
3.808879256248474,0.03765032823051495,0.2214040756225586,0.002407693149212673,6,6,1500,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 1500}",-0.02131781495541581,-0.03453269100789986,-0.023516908083559558,-0.02298186973810201,-0.02558732094624431,0.0052278894490430956,26
8.493452489376068,0.26893840554100407,0.4494912028312683,0.007063728182888297,6,6,3000,"{'max_depth': 6, 'max_features': 6, 'n_estimators': 3000}",-0.021306084146265728,-0.03462080584909511,-0.02353034077942418,-0.022943666469599684,-0.025600224311096178,0.005271438334050791,27
1.8535929322242737,0.03330958619344189,0.07463562488555908,0.0018136851281464917,6,22,500,"{'max_depth': 6, 'max_features': 22, 'n_estimators': 500}",-0.018112996794713596,-0.029361721149221788,-0.01976700686301577,-0.020240415232670346,-0.02187053500990538,0.004396563554794885,22
5.551535546779633,0.05811422605982887,0.22725147008895874,0.008375782252493339,6,22,1500,"{'max_depth': 6, 'max_features': 22, 'n_estimators': 1500}",-0.018042876969839614,-0.02963434070046322,-0.019790190664955177,-0.02023598866818956,-0.02192584925086189,0.004525344753391472,23
11.804108917713165,0.33858474140955747,0.45018869638442993,0.00663880480391135,6,22,3000,"{'max_depth': 6, 'max_features': 22, 'n_estimators': 3000}",-0.017944805597681714,-0.029765925546278268,-0.019778130954994904,-0.020244268374724504,-0.02193328261841985,0.0046031427304629524,24
2.565968155860901,0.04466555871804046,0.07450544834136963,0.0013624886338968285,6,43,500,"{'max_depth': 6, 'max_features': 43, 'n_estimators': 500}",-0.01821065631024022,-0.0294215775043278,-0.018702218736270874,-0.020783445758033703,-0.02177947457721815,0.00451662976926777,21
7.671403527259827,0.13907594320548855,0.2267017960548401,0.007342492150122757,6,43,1500,"{'max_depth': 6, 'max_features': 43, 'n_estimators': 1500}",-0.017964342638210357,-0.029493100627368277,-0.018793232543113145,-0.02064025178046914,-0.02172273189729023,0.0045896037327197055,20
15.300659418106079,0.21524964468740207,0.44293659925460815,0.0012797021607302446,6,43,3000,"{'max_depth': 6, 'max_features': 43, 'n_estimators': 3000}",-0.017990177733240863,-0.029486226134372517,-0.01877838974262881,-0.020581411615566737,-0.02170905130645223,0.004587341752902739,19
1.4830670952796936,0.020766887923075576,0.08415812253952026,0.0016786314498051578,10,6,500,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 500}",-0.01676912076456074,-0.028825031329127265,-0.01871731367834743,-0.01879130909614954,-0.020775693717046243,0.004717498636041554,18
4.4681097865104675,0.06584725760410397,0.25735700130462646,0.0038822336049760837,10,6,1500,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 1500}",-0.016656491721530203,-0.02866948945550697,-0.018653320245310818,-0.01865888418190338,-0.020659546401062844,0.004696041609855088,16
9.073438942432404,0.23703717716566386,0.5119180679321289,0.02006829891635352,10,6,3000,"{'max_depth': 10, 'max_features': 6, 'n_estimators': 3000}",-0.016710493193442755,-0.028694544227345724,-0.01875597877530283,-0.018647143040017775,-0.02070203980902727,0.004685678327080576,17
2.4707642197608948,0.10058022128387023,0.08624327182769775,0.0030959143949602515,10,22,500,"{'max_depth': 10, 'max_features': 22, 'n_estimators': 500}",-0.015283094422857607,-0.026240459634367084,-0.016197486514804214,-0.017549097060413982,-0.01881753440811072,0.00436078173015461,12
7.322828531265259,0.18290650257625948,0.261638343334198,0.012530885711528609,10,22,1500,"{'max_depth': 10, 'max_features': 22, 'n_estimators': 1500}",-0.015155049861656842,-0.026146086097742452,-0.016325170777899835,-0.01742126982032553,-0.018761894139406165,0.004337928965154698,8
14.83762389421463,0.3577321129239179,0.5211805105209351,0.025621489523623465,10,22,3000,"{'max_depth': 10, 'max_features': 22, 'n_estimators': 3000}",-0.015153201506795213,-0.02623148162288055,-0.016258505003532858,-0.017408648769841502,-0.01876295922576253,0.004385077688826011,9
3.676382064819336,0.17340277692405745,0.08541393280029297,0.0022175944928024714,10,43,500,"{'max_depth': 10, 'max_features': 43, 'n_estimators': 500}",-0.015430610048844945,-0.02584631509163455,-0.015441796428210369,-0.018315650653407,-0.018758593055524218,0.00425759945252204,7
11.022312700748444,0.4639506777749469,0.26214927434921265,0.010104884837844004,10,43,1500,"{'max_depth': 10, 'max_features': 43, 'n_estimators': 1500}",-0.01540804828646915,-0.026113490575933908,-0.015571859444793596,-0.01809817351024427,-0.01879789295436023,0.004356200033817456,10
22.04419606924057,0.4358562237545894,0.5158171653747559,0.02507750276736988,10,43,3000,"{'max_depth': 10, 'max_features': 43, 'n_estimators': 3000}",-0.01546844786508209,-0.02613861160985173,-0.015597890172543533,-0.01802014804915199,-0.018806274424157336,0.004353618579029041,11
1.6871922612190247,0.023564471837316765,0.10004228353500366,0.01217535538338698,,6,500,"{'max_depth': None, 'max_features': 6, 'n_estimators': 500}",-0.01609940292538,-0.027990014184809,-0.017659997458290277,-0.01827930692242684,-0.02000718037272653,0.004676835857270097,15
